"date","value","topic","variable_short","variable_long","location","unit","source","update","public","description"
2020-01-01,114,"Mobilität","Geschäftsverkehr","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-01,23,"Mobilität","Motorrad","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-01,10042,"Mobilität","Privatverkehr","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-01,10180,"Mobilität","Total","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-02,240,"Mobilität","Geschäftsverkehr","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-02,21,"Mobilität","Motorrad","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-02,12757,"Mobilität","Privatverkehr","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-02,13018,"Mobilität","Total","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-03,661,"Mobilität","Geschäftsverkehr","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
2020-01-03,51,"Mobilität","Motorrad","Aufkommen MIV nach Fahrzeugkategorie Birmensdorf (ZH3687), Aargauerstrasse (Route Nr. 638)","ZH","Anzahl Fahrzeuge","Kanton Zürich, Baudirektion, Tiefbauamt","täglich","ja","https://github.com/statistikZH/covid19monitoring_mobility_VerkehrsmessstellenKantonZH"
